,full,title,description,duration,price_per_month,FOR_WHOM,author,is_free,url,AUD_TARGET,cluster
0,"1C-аналитик: расширенный курс Расширенный курс «1C-аналитик» от Нетологии: вы освоите профессию 1С-аналитика на уровне middle-специалиста, научитесь эффективно работать с данными и автоматизировать процессы. В завершение получите официальное свидетельство «1С», что поможет в карьерном росте.",1C-аналитик: расширенный курс,"Расширенный курс «1C-аналитик» от Нетологии: вы освоите профессию 1С-аналитика на уровне middle-специалиста, научитесь эффективно работать с данными и автоматизировать процессы. В завершение получите официальное свидетельство «1С», что поможет в карьерном росте.",11 месяцев,3533,AUD_ANALYST AUD_BEGINNER AUD_CAREER_SWITCHER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_IT_PRO AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY,Нетология,False,https://netology.ru/programs/1c-analitik-s-nulya-do-middle,"Анализ данных, Менеджмент, управление проектами",4
1,"1C-аналитик Профессия «1C-аналитик» от Нетологии: научитесь внедрять и совершенствовать функционал «1С» для автоматизации процессов. Получите официальное свидетельство «1С» и развивайте ключевые навыки, необходимые для успешной карьеры в сфере бизнес-анализа.",1C-аналитик,"Профессия «1C-аналитик» от Нетологии: научитесь внедрять и совершенствовать функционал «1С» для автоматизации процессов. Получите официальное свидетельство «1С» и развивайте ключевые навыки, необходимые для успешной карьеры в сфере бизнес-анализа.",8 месяц,2968,AUD_ANALYST AUD_BEGINNER AUD_CAREER_SWITCHER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_IT_PRO AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY,Нетология,False,https://netology.ru/programs/1c-analyst,"Анализ данных, Финансы, бизнес, Менеджмент, управление проектами",4
2,"3D-художник Онлайн-курс «Профессия 3D-художник» — Нетология: Пройдите обучение 3D-моделированию, текстурированию и анимации с нуля. Освойте ключевые инструменты, такие как Blender, ZBrush и Cinema 4D, и создайте портфолио из 5 проектов. Получите диплом и начните карьеру в 3D-графике в индустрии игр, кино и рекламы!",3D-художник,"Онлайн-курс «Профессия 3D-художник» — Нетология: Пройдите обучение 3D-моделированию, текстурированию и анимации с нуля. Освойте ключевые инструменты, такие как Blender, ZBrush и Cinema 4D, и создайте портфолио из 5 проектов. Получите диплом и начните карьеру в 3D-графике в индустрии игр, кино и рекламы!",9 месяцев,2814,AUD_ANALYST AUD_BEGINNER AUD_CAREER_SWITCHER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_FREELANCE AUD_HEALTHCARE AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY,Нетология,False,https://netology.ru/programs/3d-artist,"Маркетинг, реклама, PR, Менеджмент, управление проектами",6
3,"3D-дженералист Онлайн-курс «3D-дженералист» от Нетологии: Станьте 3D-дженералистом с практическим обучением! Реальные проекты, наставники из индустрии и диплом. Начните карьеру в 3D-дизайне и получите поддержку в трудоустройстве!",3D-дженералист,"Онлайн-курс «3D-дженералист» от Нетологии: Станьте 3D-дженералистом с практическим обучением! Реальные проекты, наставники из индустрии и диплом. Начните карьеру в 3D-дизайне и получите поддержку в трудоустройстве!",14 месяцев,3825,AUD_ANALYST AUD_BEGINNER AUD_CAREER_SWITCHER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY,Нетология,False,https://netology.ru/programs/3d-generalist,"UX\UI-дизайн, Менеджмент, управление проектами",6
4,"Бухгалтер Онлайн-курс «Бухгалтер» от Нетологии: освоите учет, налогообложение и работу с 1С за 6 месяцев. Получите диплом бухгалтера и сертификат «1С» для старта карьеры или повышения в сфере финансов с поддержкой экспертов и возможностью трудоустройства в Т-Банк.",Бухгалтер,"Онлайн-курс «Бухгалтер» от Нетологии: освоите учет, налогообложение и работу с 1С за 6 месяцев. Получите диплом бухгалтера и сертификат «1С» для старта карьеры или повышения в сфере финансов с поддержкой экспертов и возможностью трудоустройства в Т-Банк.",7 месяцев,3125,AUD_ANALYST AUD_BEGINNER AUD_CAREER_SWITCHER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_FREELANCE AUD_HEALTHCARE AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY AUD_SALES,Нетология,False,https://netology.ru/programs/accountant,"Финансы, бизнес",0
5,"Agile-менеджмент: управление продуктами и проектами Познакомитесь с методологиями управления проектами и опытом практикующих экспертов Agile. Обучение на курсе онлайн с нуля, с сертификатом.",Agile-менеджмент: управление продуктами и проектами,"Познакомитесь с методологиями управления проектами и опытом практикующих экспертов Agile. Обучение на курсе онлайн с нуля, с сертификатом.",4 месяц,3249,AUD_ANALYST AUD_CAREER_SWITCHER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_IT_PRO AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY,Нетология,False,https://netology.ru/programs/agile-for-all,"Менеджмент, управление проектами",7
6,Управление командой с помощью Agile и Scrum  Пройдите курс Agile в Нетологии и станьте сертифицированным Scrum мастером. Освойте методологии Agile и Scrum для успешного управления проектами и командами.,Управление командой с помощью Agile и Scrum ,Пройдите курс Agile в Нетологии и станьте сертифицированным Scrum мастером. Освойте методологии Agile и Scrum для успешного управления проектами и командами.,6 месяц,3979,AUD_ANALYST AUD_BEGINNER AUD_CAREER_SWITCHER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_IT_PRO AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY,Нетология,False,https://netology.ru/programs/agilepro,"Менеджмент, управление проектами",8
7,ИИ-агенты Создайте своего первого ИИ-агента без написания кода на курсе Нетологии. Освойте автоматизацию рабочих процессов с нуля.,ИИ-агенты,Создайте своего первого ИИ-агента без написания кода на курсе Нетологии. Освойте автоматизацию рабочих процессов с нуля.,3 месяц,2808,AUD_ANALYST AUD_BEGINNER AUD_CAREER_SWITCHER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY AUD_SALES,Нетология,False,https://netology.ru/programs/agin,"Нейросети, Разработка, тестирование, Менеджмент, управление проектами",1
8,Вайб-кодинг Научитесь разработке с помощью нейросетей на курсе по Вайб Кодингу от Нетологии - получите практические навыки для разработчиков будущего,Вайб-кодинг,Научитесь разработке с помощью нейросетей на курсе по Вайб Кодингу от Нетологии - получите практические навыки для разработчиков будущего,2 месяца,2572,AUD_ANALYST AUD_BEGINNER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_IT_PRO AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY AUD_SALES,Нетология,False,https://netology.ru/programs/ai-coding,"Разработка, тестирование, Нейросети",1
9,"Нейросети для создания видео и музыки Научитесь использовать нейросети для генерации креативного видео и аудио. Освойте инструменты Midjourney, Runway и другие, создавайте контент для соцсетей, рекламы и арт-проектов.",Нейросети для создания видео и музыки,"Научитесь использовать нейросети для генерации креативного видео и аудио. Освойте инструменты Midjourney, Runway и другие, создавайте контент для соцсетей, рекламы и арт-проектов.",3 месяц,2795,AUD_ANALYST AUD_BEGINNER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY,Нетология,False,https://netology.ru/programs/ai-creative,"Маркетинг, реклама, PR, Нейросети, Менеджмент, управление проектами",6
